time_s,truth,sensor_1,sensor_2,sensor_3,estimate,mode
29.4,20.4004599694,30.2150236728,20.3782394979,20.492501488,20.492501488,1
29.5,20.3808452947,30.5296455163,20.2933797136,20.4423095737,20.4423095737,1
29.6,20.3611925358,30.3056082395,20.3852867623,20.3347742277,20.3852867623,1
29.7,20.3415036579,30.1131849223,20.3372809409,20.5169339623,20.5169339623,1
29.8,20.3217806299,30.1283769716,20.2735622802,20.4547366428,20.4547366428,1
29.9,20.3020254242,30.0880524028,20.3385530917,20.0899994604,20.3385530917,1
30,20.2822400161,10.5091661163,20.7448042925,30.686691073,nan,2
30.1,20.2624263843,10.2185902487,20.41046621,30.28662593,nan,2
30.2,20.2425865101,10.2630076893,20.5521379222,29.9787505948,nan,2
30.3,20.2227223774,10.4337812969,20.2129271783,30.5044305015,nan,2
30.4,20.2028359726,10.2402826464,20.0683015737,30.258264048,nan,2
30.5,20.1829292845,10.3301227035,20.1900820193,30.2805369398,nan,2
30.6,20.1630043035,10.0586692684,19.7362275234,30.3430090203,nan,2
30.7,20.1430630223,10.2828949695,20.1726986992,30.1567451347,nan,2
30.8,20.1231074349,10.3303665887,20.0316860898,29.9818006218,nan,2
30.9,20.1031395368,10.0654295629,20.3409589745,29.8257169559,nan,2
31,20.0831613249,10.3215273234,19.955310754,29.8630126249,nan,2
31.1,20.0631747969,10.3151871641,20.0437967779,29.803127924,nan,2
31.2,20.0431819515,9.97143533964,20.2293924376,30.28159679,nan,2
31.3,20.0231847879,9.93776505149,20.1044489397,30.1660017144,nan,2
31.4,20.0031853058,9.87426000709,20.0741925209,29.9968097229,nan,2
31.5,19.9831855053,9.87598062317,19.8847559182,29.9965924016,nan,2
31.6,19.9631873861,9.96915808353,19.8500893955,29.8779983645,nan,2
31.7,19.9431929482,10.1658603959,19.9859583753,30.1202118216,nan,2
31.8,19.923204191,10.1635686374,20.0409726429,30.3773814537,nan,2
31.9,19.9032231133,9.73816230691,20.0649050319,29.8395943187,nan,2
32,19.8832517131,10.2544083658,20.2233397374,29.4924094767,nan,2
32.1,19.8632919878,9.66951873926,19.9961545699,30.0212654297,nan,2
32.2,19.8433459331,9.99065877629,19.8291728674,29.934370098,nan,2
32.3,19.8234155436,9.95401983079,19.8078412897,30.0288759373,nan,2
32.4,19.8035028125,9.35160336269,19.9302615164,29.5966922901,nan,2
32.5,19.7836097309,9.97534529253,19.737872846,29.6058522767,nan,2
32.6,19.7637382882,9.83851871957,19.5814715886,29.5811847087,nan,2
32.7,19.7438904715,9.43043160028,19.7385489205,29.8432551758,nan,2
32.8,19.7240682655,9.92867346268,19.6957226931,29.9336393071,nan,2
32.9,19.7042736524,9.70786584742,19.6856159562,29.818986242,nan,2
33,19.6845086117,9.89618716694,19.6162217208,29.6357562873,nan,2
33.1,19.6647751199,9.63260883897,19.6813289453,29.484693478,nan,2
33.2,19.6450751503,9.85067636233,19.564993224,29.7375638417,nan,2
33.3,19.6254106729,9.46031615847,19.6971714635,29.7037292761,nan,2
33.4,19.6057836541,9.52164737277,20.0099615407,29.6799916464,nan,2
33.5,19.5861960567,9.94158184125,19.7780238414,29.4537410952,nan,2
33.6,19.5666498392,9.49021247609,19.6538702527,29.5788843456,nan,2
33.7,19.5471469565,9.5570391848,19.4899059656,29.1854516853,nan,2
33.8,19.5276893586,9.48260282992,19.0840650658,29.6020532724,nan,2
33.9,19.5082789914,9.36306743395,19.3651956462,29.4644182323,nan,2
34,19.4889177959,9.54345226521,19.2025165604,29.139197558,nan,2
34.1,19.4696077083,9.25639453396,19.0612622034,29.2762377863,nan,2
34.2,19.4503506594,9.76852726546,19.2390334761,29.5806316943,nan,2
34.3,19.4311485749,9.15682161327,19.4909726054,29.3672018125,nan,2
34.4,19.4120033752,9.40004081806,19.525758894,29.7632514002,nan,2
34.5,19.3929169746,9.43185824455,19.4177887649,29.1982434311,nan,2
34.6,19.3738912818,9.49055921286,19.3246768157,29.5402926904,nan,2
