time_s,temperature_k,analytic_temperature_k,heat_flow_w
6984,94.8062138775,94.8062138777,125.968930613
7008,94.8213256152,94.8213256154,125.893371924
7032,94.8364282886,94.8364282888,125.817858557
7056,94.851521903,94.8515219033,125.742390485
7080,94.8666064641,94.8666064643,125.66696768
7104,94.8816819771,94.8816819773,125.591590115
7128,94.8967484475,94.8967484477,125.516257762
7152,94.9118058808,94.911805881,125.440970596
7176,94.9268542822,94.9268542825,125.365728589
7200,94.9418936574,94.9418936577,125.290531713
