time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
1317.9316403,867432.36251,6866434.1823,0,-7529.15228651,951.153128852,0,0.000771215964854
1327.48186958,795480.984293,6875141.25605,0,-7538.69972851,872.257319165,0,0.0010304493618
1337.03209886,723442.372603,6883094.39295,0,-7547.42046714,793.265856651,0,0.00116163456474
1346.58232813,651324.427276,6890292.72081,0,-7555.31354609,714.187403621,0,0.00111189733822
1356.13255741,579135.056853,6896735.45024,0,-7562.37809978,635.03063192,0,0.000871209843117
1365.68278669,506882.177724,6902421.87478,0,-7568.6133535,555.804221972,0,0.000509335915484
1375.23301597,434573.713259,6907351.37104,0,-7574.01862347,476.51686182,0,0.000227109725063
1384.78324525,362217.592933,6911523.39865,0,-7578.59331693,397.177246187,0,0.000196901416665
1394.33347452,289821.751373,6914937.49984,0,-7582.33693223,317.79407559,0,0.000182821892087
1403.8837038,217394.127591,6917593.30023,0,-7585.24905883,238.376055287,0,0.000180413081617
1413.43393308,144942.664091,6919490.50858,0,-7587.3293774,158.931894362,0,0.00018685089065
1422.98416236,72475.305995,6920628.91682,0,-7588.5776598,79.4703047659,0,0.000193770146936
1432.53439163,0.000165853998624,6921008.40009,0,-7588.99376915,3.59647685855e-07,0,0.000189809989394
1442.08462091,-72475.3056614,6920628.91676,0,-7588.57765981,-79.4703040401,0,0.000175343031348
1451.63485019,-144942.663753,6919490.50844,0,-7587.32937743,-158.931893619,0,0.00018195830386
1461.18507947,-217394.127248,6917593.29999,0,-7585.24905888,-238.37605452,0,0.000242446417351
1470.73530874,-289821.751027,6914937.49947,0,-7582.3369323,-317.794074799,0,0.000330337537927
1480.28553802,-362217.59259,6911523.39817,0,-7578.59331702,-397.17724538,0,0.000397926672476
1489.8357673,-434573.712916,6907351.37052,0,-7574.01862358,-476.516861008,0,0.00040630052564
1499.38599658,-506882.177344,6902421.87403,0,-7568.61335363,-555.804221203,0,0.00033149991181
1508.93622585,-579135.056436,6896735.44931,0,-7562.37809992,-635.030631214,0,0.000187872910419
1518.48645513,-651324.426849,6890292.71992,0,-7555.31354623,-714.187402973,0,0.000225158700281
1528.03668441,-723442.3722,6883094.39234,0,-7547.42046725,-793.265856043,0,0.000525970080483
1537.58691369,-795480.983941,6875141.25591,0,-7538.69972856,-872.257318575,0,0.000861908222684
1547.13714296,-867432.362221,6866434.1827,0,-7529.1522865,-951.153128256,0,0.00114238581592
1556.68737224,-939288.616755,6856974.12747,0,-7518.77918806,-1029.94463326,0,0.00129198333557
1566.23760152,-1011041.86769,6846762.12757,0,-7507.58157077,-1108.62319322,0,0.00125330456541
1575.7878308,-1082684.24648,6835799.30285,0,-7495.56066259,-1187.18018012,0,0.00101243117299
1585.33806007,-1154207.89673,6824086.85555,0,-7482.71778173,-1265.60697932,0,0.000637063962661
1594.88828935,-1225604.97508,6811626.07027,0,-7469.05433654,-1343.89499046,0,0.000328899242352
1604.43851863,-1296867.65206,6798418.31372,0,-7454.57182534,-1422.0356284,0,0.000286934080904
1613.98874791,-1367988.11288,6784465.03402,0,-7439.27183633,-1500.02032411,0,0.000275290390301
1623.53897718,-1438958.5584,6769767.7613,0,-7423.15604733,-1577.8405257,0,0.000273057859745
1633.08920646,-1509771.2059,6754328.10727,0,-7406.22622562,-1655.48769929,0,0.000279646329304
1642.63943574,-1580418.28998,6738147.76505,0,-7388.48422774,-1732.95333,0,0.000287427774378
1652.18966502,-1650892.06337,6721228.50898,0,-7369.9319993,-1810.22892284,0,0.000285812202521
1661.73989429,-1721184.79784,6703572.19442,0,-7350.57157478,-1887.30600368,0,0.000271431774515
1671.29012357,-1791288.78498,6685180.7576,0,-7330.40507726,-1964.17612015,0,0.000261029383126
1680.84035285,-1861196.33712,6666056.21534,0,-7309.43471822,-2040.83084256,0,0.000284310016107
1690.39058213,-1930899.78811,6646200.6649,0,-7287.6627973,-2117.26176487,0,0.00034124750845
1699.9408114,-2000391.49418,6625616.2837,0,-7265.09170202,-2193.46050558,0,0.000393926855334
1709.49104068,-2069663.83481,6604305.32906,0,-7241.72390756,-2269.41870862,0,0.000401937291465
1719.04126996,-2138709.2135,6582270.138,0,-7217.56197646,-2345.12804434,0,0.000344031972393
1728.59149924,-2207520.05866,6559513.12695,0,-7192.60855833,-2420.58021035,0,0.000253734736357
1738.14172851,-2276088.82439,6536036.79144,0,-7166.8663896,-2495.76693247,0,0.000316889166179
